day,value
2020-03-30,3698.9679445760685
2020-04-06,2266.393930437188
2020-04-13,1275.3935685601666
2020-04-20,987.0950778706114
2020-04-27,1355.8074248197759
2020-05-04,1528.187412660017
2020-05-11,1546.178633939093
2020-05-18,1494.2687808390922
2020-05-25,1301.9575748279824
2020-06-01,1145.1542135361399
2020-06-08,1158.049270363347
2020-06-15,1223.7000839523255
2020-06-22,
2020-06-29,
2020-07-06,
2020-07-13,
2020-07-20,
2020-07-27,
