day,value
2018-12-10,432827.004680883
2018-12-17,448744.5955483512
2018-12-24,501716.75483181747
2018-12-31,506352.20245328336
2019-01-07,445119.22711518104
2019-01-14,416235.980964798
2019-01-21,358965.1133944167
2019-01-28,365549.6841728909
2019-02-04,352185.37128295295
2019-02-11,343292.89451258327
2019-02-18,327899.0932357254
2019-02-25,311375.28793614625
2019-03-04,325967.48278751236
2019-03-11,315947.3373590689
2019-03-18,320774.87920459296
2019-03-25,326476.3590728479
2019-04-01,312207.8203906002
2019-04-08,315225.56180926855
2019-04-15,298524.8883690666
2019-04-22,274226.72631746513
2019-04-29,276280.28695699427
2019-05-06,277439.77234430163
2019-05-13,303796.04459406267
2019-05-20,289343.6153279099
2019-05-27,291063.87592511345
2019-06-03,288544.2405900428
2019-06-10,268437.1218799931
2019-06-17,247643.84943945115
2019-06-24,240603.0876498239
2019-07-01,229413.8094180649
2019-07-08,206078.4232896455
2019-07-15,195809.15862695448
2019-07-22,171241.33590476302
2019-07-29,170644.72458486905
2019-08-05,178826.79863353158
2019-08-12,195139.9557724608
2019-08-19,201523.72831564376
2019-08-26,218325.87130178424
2019-09-02,241124.78236624936
2019-09-09,270800.7502695755
2019-09-16,363794.1826700945
2019-09-23,399250.28744891327
2019-09-30,383650.0682259609
2019-10-07,378448.8295450372
2019-10-14,368011.7118733867
2019-10-21,396027.9505386022
2019-10-28,376483.0249104751
2019-11-04,411262.2903716275
2019-11-11,381696.00623999035
2019-11-18,364488.5267335168
2019-11-25,374679.93694638123
2019-12-02,401850.1143388718
2019-12-09,429439.4379192412
2019-12-16,434841.81879339844
2019-12-23,499173.3447747259
2019-12-30,538570.5104828667
2020-01-06,520055.39210787445
2020-01-13,426360.42472658044
2020-01-20,405441.2789724903
2020-01-27,409478.436763242
2020-02-03,396128.90657061915
2020-02-10,373726.3112551949
2020-02-17,359769.96778870025
2020-02-24,364949.7860072127
2020-03-02,404931.6050884181
2020-03-09,672952.6693675737
2020-03-16,735282.5178169816
2020-03-23,456731.2314422283
2020-03-30,351517.7420774412
2020-04-06,246782.88499992617
2020-04-13,177765.93521603665
2020-04-20,143640.04265226395
2020-04-27,159398.92131197674
2020-05-04,158953.5334358935
2020-05-11,144423.32656355895
2020-05-18,137434.85932958225
2020-05-25,129379.63075578862
2020-06-01,129294.2865181037
2020-06-08,124953.00952234025
2020-06-15,111101.57860654246
2020-06-22,
2020-06-29,
2020-07-06,
2020-07-13,
2020-07-20,
2020-07-27,
